Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+2C6B; C; U+2C6C; # LATIN CAPITAL LETTER Z WITH DESCENDER
U+2C6D; C; U+0251; # LATIN CAPITAL LETTER ALPHA
U+2C6E; C; U+0271; # LATIN CAPITAL LETTER M WITH HOOK
U+2C6F; C; U+0250; # LATIN CAPITAL LETTER TURNED A
U+2C70; C; U+0252; # LATIN CAPITAL LETTER TURNED ALPHA
U+2C72; C; U+2C73; # LATIN CAPITAL LETTER W WITH HOOK
U+2C75; C; U+2C76; # LATIN CAPITAL LETTER HALF H
U+2C7E; C; U+023F; # LATIN CAPITAL LETTER S WITH SWASH TAIL
U+2C7F; C; U+0240; # LATIN CAPITAL LETTER Z WITH SWASH TAIL
U+2C80; C; U+2C81; # COPTIC CAPITAL LETTER ALFA
U+2C82; C; U+2C83; # COPTIC CAPITAL LETTER VIDA
U+2C84; C; U+2C85; # COPTIC CAPITAL LETTER GAMMA
U+2C86; C; U+2C87; # COPTIC CAPITAL LETTER DALDA
U+2C88; C; U+2C89; # COPTIC CAPITAL LETTER EIE
U+2C8A; C; U+2C8B; # COPTIC CAPITAL LETTER SOU
U+2C8C; C; U+2C8D; # COPTIC CAPITAL LETTER ZATA
U+2C8E; C; U+2C8F; # COPTIC CAPITAL LETTER HATE
U+2C90; C; U+2C91; # COPTIC CAPITAL LETTER THETHE
U+2C92; C; U+2C93; # COPTIC CAPITAL LETTER IAUDA
U+2C94; C; U+2C95; # COPTIC CAPITAL LETTER KAPA
U+2C96; C; U+2C97; # COPTIC CAPITAL LETTER LAULA
U+2C98; C; U+2C99; # COPTIC CAPITAL LETTER MI
U+2C9A; C; U+2C9B; # COPTIC CAPITAL LETTER NI
U+2C9C; C; U+2C9D; # COPTIC CAPITAL LETTER KSI
U+2C9E; C; U+2C9F; # COPTIC CAPITAL LETTER O
U+2CA0; C; U+2CA1; # COPTIC CAPITAL LETTER PI
U+2CA2; C; U+2CA3; # COPTIC CAPITAL LETTER RO
U+2CA4; C; U+2CA5; # COPTIC CAPITAL LETTER SIMA
U+2CA6; C; U+2CA7; # COPTIC CAPITAL LETTER TAU
U+2CA8; C; U+2CA9; # COPTIC CAPITAL LETTER UA
U+2CAA; C; U+2CAB; # COPTIC CAPITAL LETTER FI
U+2CAC; C; U+2CAD; # COPTIC CAPITAL LETTER KHI
U+2CAE; C; U+2CAF; # COPTIC CAPITAL LETTER PSI
U+2CB0; C; U+2CB1; # COPTIC CAPITAL LETTER OOU
U+2CB2; C; U+2CB3; # COPTIC CAPITAL LETTER DIALECT-P ALEF
U+2CB4; C; U+2CB5; # COPTIC CAPITAL LETTER OLD COPTIC AIN
U+2CB6; C; U+2CB7; # COPTIC CAPITAL LETTER CRYPTOGRAMMIC EIE
U+2CB8; C; U+2CB9; # COPTIC CAPITAL LETTER DIALECT-P KAPA
U+2CBA; C; U+2CBB; # COPTIC CAPITAL LETTER DIALECT-P NI
U+2CBC; C; U+2CBD; # COPTIC CAPITAL LETTER CRYPTOGRAMMIC NI
U+2CBE; C; U+2CBF; # COPTIC CAPITAL LETTER OLD COPTIC OOU
U+2CC0; C; U+2CC1; # COPTIC CAPITAL LETTER SAMPI
U+2CC2; C; U+2CC3; # COPTIC CAPITAL LETTER CROSSED SHEI
U+2CC4; C; U+2CC5; # COPTIC CAPITAL LETTER OLD COPTIC SHEI
U+2CC6; C; U+2CC7; # COPTIC CAPITAL LETTER OLD COPTIC ESH
U+2CC8; C; U+2CC9; # COPTIC CAPITAL LETTER AKHMIMIC KHEI
U+2CCA; C; U+2CCB; # COPTIC CAPITAL LETTER DIALECT-P HORI
U+2CCC; C; U+2CCD; # COPTIC CAPITAL LETTER OLD COPTIC HORI
U+2CCE; C; U+2CCF; # COPTIC CAPITAL LETTER OLD COPTIC HA
U+2CD0; C; U+2CD1; # COPTIC CAPITAL LETTER L-SHAPED HA
U+2CD2; C; U+2CD3; # COPTIC CAPITAL LETTER OLD COPTIC HEI
U+2CD4; C; U+2CD5; # COPTIC CAPITAL LETTER OLD COPTIC HAT
U+2CD6; C; U+2CD7; # COPTIC CAPITAL LETTER OLD COPTIC GANGIA
U+2CD8; C; U+2CD9; # COPTIC CAPITAL LETTER OLD COPTIC DJA
U+2CDA; C; U+2CDB; # COPTIC CAPITAL LETTER OLD COPTIC SHIMA
U+2CDC; C; U+2CDD; # COPTIC CAPITAL LETTER OLD NUBIAN SHIMA
U+2CDE; C; U+2CDF; # COPTIC CAPITAL LETTER OLD NUBIAN NGI
U+2CE0; C; U+2CE1; # COPTIC CAPITAL LETTER OLD NUBIAN NYI
U+2CE2; C; U+2CE3; # COPTIC CAPITAL LETTER OLD NUBIAN WAU
U+2CEB; C; U+2CEC; # COPTIC CAPITAL LETTER CRYPTOGRAMMIC SHEI
U+2CED; C; U+2CEE; # COPTIC CAPITAL LETTER CRYPTOGRAMMIC GANGIA
U+2CF2; C; U+2CF3; # COPTIC CAPITAL LETTER BOHAIRIC KHEI
U+A640; C; A641; # CYRILLIC CAPITAL LETTER ZEMLYA
U+A642; C; A643; # CYRILLIC CAPITAL LETTER DZELO
U+A644; C; A645; # CYRILLIC CAPITAL LETTER REVERSED DZE
U+A646; C; A647; # CYRILLIC CAPITAL LETTER IOTA
U+A648; C; A649; # CYRILLIC CAPITAL LETTER DJERV
U+A64A; C; A64B; # CYRILLIC CAPITAL LETTER MONOGRAPH UK
U+A64C; C; A64D; # CYRILLIC CAPITAL LETTER BROAD OMEGA
U+A64E; C; A64F; # CYRILLIC CAPITAL LETTER NEUTRAL YER
U+A650; C; A651; # CYRILLIC CAPITAL LETTER YERU WITH BACK YER
U+A652; C; A653; # CYRILLIC CAPITAL LETTER IOTIFIED YAT
U+A654; C; A655; # CYRILLIC CAPITAL LETTER REVERSED YU
U+A656; C; A657; # CYRILLIC CAPITAL LETTER IOTIFIED A
U+A658; C; A659; # CYRILLIC CAPITAL LETTER CLOSED LITTLE YUS
U+A65A; C; A65B; # CYRILLIC CAPITAL LETTER BLENDED YUS
U+A65C; C; A65D; # CYRILLIC CAPITAL LETTER IOTIFIED CLOSED LITTLE YUS
U+A65E; C; A65F; # CYRILLIC CAPITAL LETTER YN
U+A660; C; A661; # CYRILLIC CAPITAL LETTER REVERSED TSE
U+A662; C; A663; # CYRILLIC CAPITAL LETTER SOFT DE
U+A664; C; A665; # CYRILLIC CAPITAL LETTER SOFT EL
U+A666; C; A667; # CYRILLIC CAPITAL LETTER SOFT EM
U+A668; C; A669; # CYRILLIC CAPITAL LETTER MONOCULAR O
U+A66A; C; A66B; # CYRILLIC CAPITAL LETTER BINOCULAR O
U+A66C; C; A66D; # CYRILLIC CAPITAL LETTER DOUBLE MONOCULAR O
U+A680; C; A681; # CYRILLIC CAPITAL LETTER DWE
U+A682; C; A683; # CYRILLIC CAPITAL LETTER DZWE
U+A684; C; A685; # CYRILLIC CAPITAL LETTER ZHWE
U+A686; C; A687; # CYRILLIC CAPITAL LETTER CCHE
U+A688; C; A689; # CYRILLIC CAPITAL LETTER DZZE
U+A68A; C; A68B; # CYRILLIC CAPITAL LETTER TE WITH MIDDLE HOOK
U+A68C; C; A68D; # CYRILLIC CAPITAL LETTER TWE
U+A68E; C; A68F; # CYRILLIC CAPITAL LETTER TSWE
U+A690; C; A691; # CYRILLIC CAPITAL LETTER TSSE
U+A692; C; A693; # CYRILLIC CAPITAL LETTER TCHE
U+A694; C; A695; # CYRILLIC CAPITAL LETTER HWE
U+A696; C; A697; # CYRILLIC CAPITAL LETTER SHWE
U+A698; C; A699; # CYRILLIC CAPITAL LETTER DOUBLE O
U+A69A; C; A69B; # CYRILLIC CAPITAL LETTER CROSSED O
U+A722; C; A723; # LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF
U+A724; C; A725; # LATIN CAPITAL LETTER EGYPTOLOGICAL AIN
U+A726; C; A727; # LATIN CAPITAL LETTER HENG
U+A728; C; A729; # LATIN CAPITAL LETTER TZ
U+A72A; C; A72B; # LATIN CAPITAL LETTER TRESILLO
U+A72C; C; A72D; # LATIN CAPITAL LETTER CUATRILLO
U+A72E; C; A72F; # LATIN CAPITAL LETTER CUATRILLO WITH COMMA
U+A732; C; A733; # LATIN CAPITAL LETTER AA
U+A734; C; A735; # LATIN CAPITAL LETTER AO
U+A736; C; A737; # LATIN CAPITAL LETTER AU
U+A738; C; A739; # LATIN CAPITAL LETTER AV
U+A73A; C; A73B; # LATIN CAPITAL LETTER AV WITH HORIZONTAL BAR
U+A73C; C; A73D; # LATIN CAPITAL LETTER AY
U+A73E; C; A73F; # LATIN CAPITAL LETTER REVERSED C WITH DOT
U+A740; C; A741; # LATIN CAPITAL LETTER K WITH STROKE
U+A742; C; A743; # LATIN CAPITAL LETTER K WITH DIAGONAL STROKE
U+A744; C; A745; # LATIN CAPITAL LETTER K WITH STROKE AND DIAGONAL STROKE
U+A746; C; A747; # LATIN CAPITAL LETTER BROKEN L
U+A748; C; A749; # LATIN CAPITAL LETTER L WITH HIGH STROKE
U+A74A; C; A74B; # LATIN CAPITAL LETTER O WITH LONG STROKE OVERLAY
U+A74C; C; A74D; # LATIN CAPITAL LETTER O WITH LOOP
U+A74E; C; A74F; # LATIN CAPITAL LETTER OO
U+A750; C; A751; # LATIN CAPITAL LETTER P WITH STROKE THROUGH DESCENDER
U+A752; C; A753; # LATIN CAPITAL LETTER P WITH FLOURISH
U+A754; C; A755; # LATIN CAPITAL LETTER P WITH SQUIRREL TAIL
U+A756; C; A757; # LATIN CAPITAL LETTER Q WITH STROKE THROUGH DESCENDER
U+A758; C; A759; # LATIN CAPITAL LETTER Q WITH DIAGONAL STROKE
U+A75A; C; A75B; # LATIN CAPITAL LETTER R ROTUNDA
U+A75C; C; A75D; # LATIN CAPITAL LETTER RUM ROTUNDA
U+A75E; C; A75F; # LATIN CAPITAL LETTER V WITH DIAGONAL STROKE
U+A760; C; A761; # LATIN CAPITAL LETTER VY
U+A762; C; A763; # LATIN CAPITAL LETTER VISIGOTHIC Z
U+A764; C; A765; # LATIN CAPITAL LETTER THORN WITH STROKE
U+A766; C; A767; # LATIN CAPITAL LETTER THORN WITH STROKE THROUGH DESCENDER
U+A768; C; A769; # LATIN CAPITAL LETTER VEND
U+A76A; C; A76B; # LATIN CAPITAL LETTER ET
U+A76C; C; A76D; # LATIN CAPITAL LETTER IS
U+A76E; C; A76F; # LATIN CAPITAL LETTER CON
U+A779; C; A77A; # LATIN CAPITAL LETTER INSULAR D
U+A77B; C; A77C; # LATIN CAPITAL LETTER INSULAR F
U+A77D; C; U+1D79; # LATIN CAPITAL LETTER INSULAR G
U+A77E; C; A77F; # LATIN CAPITAL LETTER TURNED INSULAR G
U+A780; C; A781; # LATIN CAPITAL LETTER TURNED L
U+A782; C; A783; # LATIN CAPITAL LETTER INSULAR R
U+A784; C; A785; # LATIN CAPITAL LETTER INSULAR S
U+A786; C; A787; # LATIN CAPITAL LETTER INSULAR T
U+A78B; C; A78C; # LATIN CAPITAL LETTER SALTILLO
U+A78D; C; U+0265; # LATIN CAPITAL LETTER TURNED H
U+A790; C; A791; # LATIN CAPITAL LETTER N WITH DESCENDER
U+A792; C; A793; # LATIN CAPITAL LETTER C WITH BAR
U+A796; C; A797; # LATIN CAPITAL LETTER B WITH FLOURISH
U+A798; C; A799; # LATIN CAPITAL LETTER F WITH STROKE
U+A79A; C; A79B; # LATIN CAPITAL LETTER VOLAPUK AE
U+A79C; C; A79D; # LATIN CAPITAL LETTER VOLAPUK OE
U+A79E; C; A79F; # LATIN CAPITAL LETTER VOLAPUK UE
U+A7A0; C; A7A1; # LATIN CAPITAL LETTER G WITH OBLIQUE STROKE
U+A7A2; C; A7A3; # LATIN CAPITAL LETTER K WITH OBLIQUE STROKE
U+A7A4; C; A7A5; # LATIN CAPITAL LETTER N WITH OBLIQUE STROKE
U+A7A6; C; A7A7; # LATIN CAPITAL LETTER R WITH OBLIQUE STROKE
U+A7A8; C; A7A9; # LATIN CAPITAL LETTER S WITH OBLIQUE STROKE
U+A7AA; C; U+0266; # LATIN CAPITAL LETTER H WITH HOOK
U+A7AB; C; U+025C; # LATIN CAPITAL LETTER REVERSED OPEN E
U+A7AC; C; U+0261; # LATIN CAPITAL LETTER SCRIPT G
U+A7AD; C; U+026C; # LATIN CAPITAL LETTER L WITH BELT
U+A7AE; C; U+026A; # LATIN CAPITAL LETTER SMALL CAPITAL I
U+A7B0; C; U+029E; # LATIN CAPITAL LETTER TURNED K
U+A7B1; C; U+0287; # LATIN CAPITAL LETTER TURNED T
U+A7B2; C; U+029D; # LATIN CAPITAL LETTER J WITH CROSSED-TAIL
U+A7B3; C; AB53; # LATIN CAPITAL LETTER CHI
U+A7B4; C; A7B5; # LATIN CAPITAL LETTER BETA
U+A7B6; C; A7B7; # LATIN CAPITAL LETTER OMEGA
U+A7B8; C; A7B9; # LATIN CAPITAL LETTER U WITH STROKE
U+AB70; C; U+13A0; # CHEROKEE SMALL LETTER A
U+AB71; C; U+13A1; # CHEROKEE SMALL LETTER E
U+AB72; C; U+13A2; # CHEROKEE SMALL LETTER I
U+AB73; C; U+13A3; # CHEROKEE SMALL LETTER O
U+AB74; C; U+13A4; # CHEROKEE SMALL LETTER U
U+AB75; C; U+13A5; # CHEROKEE SMALL LETTER V
U+AB76; C; U+13A6; # CHEROKEE SMALL LETTER GA
U+AB77; C; U+13A7; # CHEROKEE SMALL LETTER KA
U+AB78; C; U+13A8; # CHEROKEE SMALL LETTER GE
U+AB79; C; U+13A9; # CHEROKEE SMALL LETTER GI
U+AB7A; C; U+13AA; # CHEROKEE SMALL LETTER GO
U+AB7B; C; U+13AB; # CHEROKEE SMALL LETTER GU
U+AB7C; C; U+13AC; # CHEROKEE SMALL LETTER GV
U+AB7D; C; U+13AD; # CHEROKEE SMALL LETTER HA
U+AB7E; C; U+13AE; # CHEROKEE SMALL LETTER HE
U+AB7F; C; U+13AF; # CHEROKEE SMALL LETTER HI
U+AB80; C; U+13B0; # CHEROKEE SMALL LETTER HO
U+AB81; C; U+13B1; # CHEROKEE SMALL LETTER HU
U+AB82; C; U+13B2; # CHEROKEE SMALL LETTER HV
U+AB83; C; U+13B3; # CHEROKEE SMALL LETTER LA
U+AB84; C; U+13B4; # CHEROKEE SMALL LETTER LE
U+AB85; C; U+13B5; # CHEROKEE SMALL LETTER LI
U+AB86; C; U+13B6; # CHEROKEE SMALL LETTER LO
U+AB87; C; U+13B7; # CHEROKEE SMALL LETTER LU
U+AB88; C; U+13B8; # CHEROKEE SMALL LETTER LV
U+AB89; C; U+13B9; # CHEROKEE SMALL LETTER MA
U+AB8A; C; U+13BA; # CHEROKEE SMALL LETTER ME
U+AB8B; C; U+13BB; # CHEROKEE SMALL LETTER MI
U+AB8C; C; U+13BC; # CHEROKEE SMALL LETTER MO
U+AB8D; C; U+13BD; # CHEROKEE SMALL LETTER MU
U+AB8E; C; U+13BE; # CHEROKEE SMALL LETTER NA
U+AB8F; C; U+13BF; # CHEROKEE SMALL LETTER HNA
U+AB90; C; U+13C0; # CHEROKEE SMALL LETTER NAH
U+AB91; C; U+13C1; # CHEROKEE SMALL LETTER NE
U+AB92; C; U+13C2; # CHEROKEE SMALL LETTER NI
U+AB93; C; U+13C3; # CHEROKEE SMALL LETTER NO
U+AB94; C; U+13C4; # CHEROKEE SMALL LETTER NU
U+AB95; C; U+13C5; # CHEROKEE SMALL LETTER NV
U+AB96; C; U+13C6; # CHEROKEE SMALL LETTER QUA
U+AB97; C; U+13C7; # CHEROKEE SMALL LETTER QUE
U+AB98; C; U+13C8; # CHEROKEE SMALL LETTER QUI
U+AB99; C; U+13C9; # CHEROKEE SMALL LETTER QUO
U+AB9A; C; U+13CA; # CHEROKEE SMALL LETTER QUU
U+AB9B; C; U+13CB; # CHEROKEE SMALL LETTER QUV
U+AB9C; C; U+13CC; # CHEROKEE SMALL LETTER SA
U+AB9D; C; U+13CD; # CHEROKEE SMALL LETTER S
U+AB9E; C; U+13CE; # CHEROKEE SMALL LETTER SE
U+AB9F; C; U+13CF; # CHEROKEE SMALL LETTER SI
U+ABA0; C; U+13D0; # CHEROKEE SMALL LETTER SO
U+ABA1; C; U+13D1; # CHEROKEE SMALL LETTER SU
U+ABA2; C; U+13D2; # CHEROKEE SMALL LETTER SV
U+ABA3; C; U+13D3; # CHEROKEE SMALL LETTER DA
U+ABA4; C; U+13D4; # CHEROKEE SMALL LETTER TA
U+ABA5; C; U+13D5; # CHEROKEE SMALL LETTER DE
U+ABA6; C; U+13D6; # CHEROKEE SMALL LETTER TE
U+ABA7; C; U+13D7; # CHEROKEE SMALL LETTER DI
U+ABA8; C; U+13D8; # CHEROKEE SMALL LETTER TI
U+ABA9; C; U+13D9; # CHEROKEE SMALL LETTER DO
U+ABAA; C; U+13DA; # CHEROKEE SMALL LETTER DU
U+ABAB; C; U+13DB; # CHEROKEE SMALL LETTER DV
U+ABAC; C; U+13DC; # CHEROKEE SMALL LETTER DLA
U+ABAD; C; U+13DD; # CHEROKEE SMALL LETTER TLA
U+ABAE; C; U+13DE; # CHEROKEE SMALL LETTER TLE
U+ABAF; C; U+13DF; # CHEROKEE SMALL LETTER TLI
U+ABB0; C; U+13E0; # CHEROKEE SMALL LETTER TLO
U+ABB1; C; U+13E1; # CHEROKEE SMALL LETTER TLU
U+ABB2; C; U+13E2; # CHEROKEE SMALL LETTER TLV
U+ABB3; C; U+13E3; # CHEROKEE SMALL LETTER TSA
U+ABB4; C; U+13E4; # CHEROKEE SMALL LETTER TSE
U+ABB5; C; U+13E5; # CHEROKEE SMALL LETTER TSI
U+ABB6; C; U+13E6; # CHEROKEE SMALL LETTER TSO
U+ABB7; C; U+13E7; # CHEROKEE SMALL LETTER TSU
U+ABB8; C; U+13E8; # CHEROKEE SMALL LETTER TSV
U+ABB9; C; U+13E9; # CHEROKEE SMALL LETTER WA
U+ABBA; C; U+13EA; # CHEROKEE SMALL LETTER WE
U+ABBB; C; U+13EB; # CHEROKEE SMALL LETTER WI
U+ABBC; C; U+13EC; # CHEROKEE SMALL LETTER WO
U+ABBD; C; U+13ED; # CHEROKEE SMALL LETTER WU
U+ABBE; C; U+13EE; # CHEROKEE SMALL LETTER WV
U+ABBF; C; U+13EF; # CHEROKEE SMALL LETTER YA
U+FB00; F; U+0066 U+0066; # LATIN SMALL LIGATURE FF
U+FB01; F; U+0066 U+0069; # LATIN SMALL LIGATURE FI
U+FB02; F; U+0066 U+006C; # LATIN SMALL LIGATURE FL
U+FB03; F; U+0066 U+0066 U+0069; # LATIN SMALL LIGATURE FFI
U+FB04; F; U+0066 U+0066 U+006C; # LATIN SMALL LIGATURE FFL
U+FB05; F; U+0073 U+0074; # LATIN SMALL LIGATURE LONG S T
U+FB06; F; U+0073 U+0074; # LATIN SMALL LIGATURE ST
U+FB13; F; U+0574 U+0576; # ARMENIAN SMALL LIGATURE MEN NOW
U+FB14; F; U+0574 U+0565; # ARMENIAN SMALL LIGATURE MEN ECH
U+FB15; F; U+0574 U+056B; # ARMENIAN SMALL LIGATURE MEN INI
U+FB16; F; U+057E U+0576; # ARMENIAN SMALL LIGATURE VEW NOW
U+FB17; F; U+0574 U+056D; # ARMENIAN SMALL LIGATURE MEN XEH
U+FF21; C; FF41; # FULLWIDTH LATIN CAPITAL LETTER A
U+FF22; C; FF42; # FULLWIDTH LATIN CAPITAL LETTER B
U+FF23; C; FF43; # FULLWIDTH LATIN CAPITAL LETTER C
U+FF24; C; FF44; # FULLWIDTH LATIN CAPITAL LETTER D
U+FF25; C; FF45; # FULLWIDTH LATIN CAPITAL LETTER E
U+FF26; C; FF46; # FULLWIDTH LATIN CAPITAL LETTER F
U+FF27; C; FF47; # FULLWIDTH LATIN CAPITAL LETTER G
U+FF28; C; FF48; # FULLWIDTH LATIN CAPITAL LETTER H
U+FF29; C; FF49; # FULLWIDTH LATIN CAPITAL LETTER I
U+FF2A; C; FF4A; # FULLWIDTH LATIN CAPITAL LETTER J
U+FF2B; C; FF4B; # FULLWIDTH LATIN CAPITAL LETTER K
U+FF2C; C; FF4C; # FULLWIDTH LATIN CAPITAL LETTER L
U+FF2D; C; FF4D; # FULLWIDTH LATIN CAPITAL LETTER M
U+FF2E; C; FF4E; # FULLWIDTH LATIN CAPITAL LETTER N
U+FF2F; C; FF4F; # FULLWIDTH LATIN CAPITAL LETTER O
U+FF30; C; FF50; # FULLWIDTH LATIN CAPITAL LETTER P
U+FF31; C; FF51; # FULLWIDTH LATIN CAPITAL LETTER Q
U+FF32; C; FF52; # FULLWIDTH LATIN CAPITAL LETTER R
U+FF33; C; FF53; # FULLWIDTH LATIN CAPITAL LETTER S
U+FF34; C; FF54; # FULLWIDTH LATIN CAPITAL LETTER T
U+FF35; C; FF55; # FULLWIDTH LATIN CAPITAL LETTER U
U+FF36; C; FF56; # FULLWIDTH LATIN CAPITAL LETTER V
U+FF37; C; FF57; # FULLWIDTH LATIN CAPITAL LETTER W
U+FF38; C; FF58; # FULLWIDTH LATIN CAPITAL LETTER X
U+FF39; C; FF59; # FULLWIDTH LATIN CAPITAL LETTER Y
U+FF3A; C; FF5A; # FULLWIDTH LATIN CAPITAL LETTER Z
U+10400; C; U+10428; # DESERET CAPITAL LETTER LONG I
U+10401; C; U+10429; # DESERET CAPITAL LETTER LONG E
U+10402; C; U+1042A; # DESERET CAPITAL LETTER LONG A
U+10403; C; U+1042B; # DESERET CAPITAL LETTER LONG AH
U+10404; C; U+1042C; # DESERET CAPITAL LETTER LONG O
U+10405; C; U+1042D; # DESERET CAPITAL LETTER LONG OO
U+10406; C; U+1042E; # DESERET CAPITAL LETTER SHORT I
U+10407; C; U+1042F; # DESERET CAPITAL LETTER SHORT E
U+10408; C; U+10430; # DESERET CAPITAL LETTER SHORT A
U+10409; C; U+10431; # DESERET CAPITAL LETTER SHORT AH
U+1040A; C; U+10432; # DESERET CAPITAL LETTER SHORT O
U+1040B; C; U+10433; # DESERET CAPITAL LETTER SHORT OO
U+1040C; C; U+10434; # DESERET CAPITAL LETTER AY
U+1040D; C; U+10435; # DESERET CAPITAL LETTER OW
U+1040E; C; U+10436; # DESERET CAPITAL LETTER WU
U+1040F; C; U+10437; # DESERET CAPITAL LETTER YEE
U+10410; C; U+10438; # DESERET CAPITAL LETTER H
U+10411; C; U+10439; # DESERET CAPITAL LETTER PEE
U+10412; C; U+1043A; # DESERET CAPITAL LETTER BEE
U+10413; C; U+1043B; # DESERET CAPITAL LETTER TEE
U+10414; C; U+1043C; # DESERET CAPITAL LETTER DEE
U+10415; C; U+1043D; # DESERET CAPITAL LETTER CHEE
U+10416; C; U+1043E; # DESERET CAPITAL LETTER JEE
U+10417; C; U+1043F; # DESERET CAPITAL LETTER KAY
U+10418; C; U+10440; # DESERET CAPITAL LETTER GAY
U+10419; C; U+10441; # DESERET CAPITAL LETTER EF
U+1041A; C; U+10442; # DESERET CAPITAL LETTER VEE
U+1041B; C; U+10443; # DESERET CAPITAL LETTER ETH
U+1041C; C; U+10444; # DESERET CAPITAL LETTER THEE
U+1041D; C; U+10445; # DESERET CAPITAL LETTER ES
U+1041E; C; U+10446; # DESERET CAPITAL LETTER ZEE
U+1041F; C; U+10447; # DESERET CAPITAL LETTER ESH
U+10420; C; U+10448; # DESERET CAPITAL LETTER ZHEE
U+10421; C; U+10449; # DESERET CAPITAL LETTER ER
U+10422; C; U+1044A; # DESERET CAPITAL LETTER EL
U+10423; C; U+1044B; # DESERET CAPITAL LETTER EM
U+10424; C; U+1044C; # DESERET CAPITAL LETTER EN
U+10425; C; U+1044D; # DESERET CAPITAL LETTER ENG
U+10426; C; U+1044E; # DESERET CAPITAL LETTER OI
U+10427; C; U+1044F; # DESERET CAPITAL LETTER EW
U+104B0; C; U+104D8; # OSAGE CAPITAL LETTER A
U+104B1; C; U+104D9; # OSAGE CAPITAL LETTER AI
U+104B2; C; U+104DA; # OSAGE CAPITAL LETTER AIN
U+104B3; C; U+104DB; # OSAGE CAPITAL LETTER AH
U+104B4; C; U+104DC; # OSAGE CAPITAL LETTER BRA
U+104B5; C; U+104DD; # OSAGE CAPITAL LETTER CHA
U+104B6; C; U+104DE; # OSAGE CAPITAL LETTER EHCHA
U+104B7; C; U+104DF; # OSAGE CAPITAL LETTER E
U+104B8; C; U+104E0; # OSAGE CAPITAL LETTER EIN
U+104B9; C; U+104E1; # OSAGE CAPITAL LETTER HA
U+104BA; C; U+104E2; # OSAGE CAPITAL LETTER HYA
U+104BB; C; U+104E3; # OSAGE CAPITAL LETTER I
U+104BC; C; U+104E4; # OSAGE CAPITAL LETTER KA
U+104BD; C; U+104E5; # OSAGE CAPITAL LETTER EHKA
U+104BE; C; U+104E6; # OSAGE CAPITAL LETTER KYA
U+104BF; C; U+104E7; # OSAGE CAPITAL LETTER LA
U+104C0; C; U+104E8; # OSAGE CAPITAL LETTER MA
U+104C1; C; U+104E9; # OSAGE CAPITAL LETTER NA
U+104C2; C; U+104EA; # OSAGE CAPITAL LETTER O
U+104C3; C; U+104EB; # OSAGE CAPITAL LETTER OIN
U+104C4; C; U+104EC; # OSAGE CAPITAL LETTER PA
U+104C5; C; U+104ED; # OSAGE CAPITAL LETTER EHPA
U+104C6; C; U+104EE; # OSAGE CAPITAL LETTER SA
U+104C7; C; U+104EF; # OSAGE CAPITAL LETTER SHA
U+104C8; C; U+104F0; # OSAGE CAPITAL LETTER TA
U+104C9; C; U+104F1; # OSAGE CAPITAL LETTER EHTA
U+104CA; C; U+104F2; # OSAGE CAPITAL LETTER TSA
U+104CB; C; U+104F3; # OSAGE CAPITAL LETTER EHTSA
U+104CC; C; U+104F4; # OSAGE CAPITAL LETTER TSHA
U+104CD; C; U+104F5; # OSAGE CAPITAL LETTER DHA
U+104CE; C; U+104F6; # OSAGE CAPITAL LETTER U
U+104CF; C; U+104F7; # OSAGE CAPITAL LETTER WA
U+104D0; C; U+104F8; # OSAGE CAPITAL LETTER KHA
U+104D1; C; U+104F9; # OSAGE CAPITAL LETTER GHA
U+104D2; C; U+104FA; # OSAGE CAPITAL LETTER ZA
U+104D3; C; U+104FB; # OSAGE CAPITAL LETTER ZHA
U+10C80; C; U+10CC0; # OLD HUNGARIAN CAPITAL LETTER A
U+10C81; C; U+10CC1; # OLD HUNGARIAN CAPITAL LETTER AA
U+10C82; C; U+10CC2; # OLD HUNGARIAN CAPITAL LETTER EB
U+10C83; C; U+10CC3; # OLD HUNGARIAN CAPITAL LETTER AMB
U+10C84; C; U+10CC4; # OLD HUNGARIAN CAPITAL LETTER EC
U+10C85; C; U+10CC5; # OLD HUNGARIAN CAPITAL LETTER ENC
U+10C86; C; U+10CC6; # OLD HUNGARIAN CAPITAL LETTER ECS
U+10C87; C; U+10CC7; # OLD HUNGARIAN CAPITAL LETTER ED
U+10C88; C; U+10CC8; # OLD HUNGARIAN CAPITAL LETTER AND
U+10C89; C; U+10CC9; # OLD HUNGARIAN CAPITAL LETTER E
U+10C8A; C; U+10CCA; # OLD HUNGARIAN CAPITAL LETTER CLOSE E
U+10C8B; C; U+10CCB; # OLD HUNGARIAN CAPITAL LETTER EE
U+10C8C; C; U+10CCC; # OLD HUNGARIAN CAPITAL LETTER EF
U+10C8D; C; U+10CCD; # OLD HUNGARIAN CAPITAL LETTER EG
U+10C8E; C; U+10CCE; # OLD HUNGARIAN CAPITAL LETTER EGY
U+10C8F; C; U+10CCF; # OLD HUNGARIAN CAPITAL LETTER EH
U+10C90; C; U+10CD0; # OLD HUNGARIAN CAPITAL LETTER I
U+10C91; C; U+10CD1; # OLD HUNGARIAN CAPITAL LETTER II
U+10C92; C; U+10CD2; # OLD HUNGARIAN CAPITAL LETTER EJ
U+10C93; C; U+10CD3; # OLD HUNGARIAN CAPITAL LETTER EK
