Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+03D8; C; U+03D9; # GREEK LETTER ARCHAIC KOPPA
U+03DA; C; U+03DB; # GREEK LETTER STIGMA
U+03DC; C; U+03DD; # GREEK LETTER DIGAMMA
U+03DE; C; U+03DF; # GREEK LETTER KOPPA
U+03E0; C; U+03E1; # GREEK LETTER SAMPI
U+03E2; C; U+03E3; # COPTIC CAPITAL LETTER SHEI
U+03E4; C; U+03E5; # COPTIC CAPITAL LETTER FEI
U+03E6; C; U+03E7; # COPTIC CAPITAL LETTER KHEI
U+03E8; C; U+03E9; # COPTIC CAPITAL LETTER HORI
U+03EA; C; U+03EB; # COPTIC CAPITAL LETTER GANGIA
U+03EC; C; U+03ED; # COPTIC CAPITAL LETTER SHIMA
U+03EE; C; U+03EF; # COPTIC CAPITAL LETTER DEI
U+03F0; C; U+03BA; # GREEK KAPPA SYMBOL
U+03F1; C; U+03C1; # GREEK RHO SYMBOL
U+03F4; C; U+03B8; # GREEK CAPITAL THETA SYMBOL
U+03F5; C; U+03B5; # GREEK LUNATE EPSILON SYMBOL
U+03F7; C; U+03F8; # GREEK CAPITAL LETTER SHO
U+03F9; C; U+03F2; # GREEK CAPITAL LUNATE SIGMA SYMBOL
U+03FA; C; U+03FB; # GREEK CAPITAL LETTER SAN
U+03FD; C; U+037B; # GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL
U+03FE; C; U+037C; # GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL
U+03FF; C; U+037D; # GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL
U+0400; C; U+0450; # CYRILLIC CAPITAL LETTER IE WITH GRAVE
U+0401; C; U+0451; # CYRILLIC CAPITAL LETTER IO
U+0402; C; U+0452; # CYRILLIC CAPITAL LETTER DJE
U+0403; C; U+0453; # CYRILLIC CAPITAL LETTER GJE
U+0404; C; U+0454; # CYRILLIC CAPITAL LETTER UKRAINIAN IE
U+0405; C; U+0455; # CYRILLIC CAPITAL LETTER DZE
U+0406; C; U+0456; # CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
U+0407; C; U+0457; # CYRILLIC CAPITAL LETTER YI
U+0408; C; U+0458; # CYRILLIC CAPITAL LETTER JE
U+0409; C; U+0459; # CYRILLIC CAPITAL LETTER LJE
